mean,std,max,peak_to_peak,rms,Label
0.012736,0.44098,0.814575,0.838086,0.441164,0
0.014864,0.442081,0.863249,0.927015,0.442331,0
0.015447,0.440911,0.837635,0.877638,0.441181,0
0.016612,0.441416,0.845368,0.859315,0.441729,0
0.003864,0.424124,0.660219,0.065088,0.424142,1
0.003022,0.424282,0.649502,0.05725,0.424293,1
0.002597,0.424666,0.659467,0.076277,0.424674,1
0.003471,0.425501,0.642852,0.063709,0.425516,1
0.013189,0.4419,0.855504,0.908348,0.442097,0
0.004323,0.42489,0.647654,0.057648,0.424912,1
0.01579,0.439215,0.828186,0.846626,0.439499,0
0.01955,0.44102,0.865631,0.959335,0.441453,0
0.016222,0.442757,0.827084,0.86047,0.443054,0
0.015417,0.440338,0.829587,0.87214,0.440608,0
0.003014,0.424757,0.642197,0.060606,0.424768,1
0.016094,0.438856,0.831785,0.857949,0.439151,0
0.002199,0.4241,0.643545,0.05068,0.424105,0
0.003837,0.425125,0.656899,0.06615,0.425142,0
0.002821,0.424258,0.647958,0.038135,0.424268,0
0.00332,0.424377,0.640859,0.030557,0.42439,0
0.003281,0.424512,0.661458,0.069369,0.424525,0
0.003413,0.424825,0.646457,0.055879,0.424839,0
0.003288,0.424794,0.656325,0.059768,0.424807,0
0.011705,0.443703,0.861712,0.878891,0.443858,1
0.013912,0.442036,0.850062,0.913669,0.442255,1
0.013784,0.4389,0.822061,0.843405,0.439116,1
0.016452,0.440786,0.846265,0.856196,0.441093,1
0.002775,0.424763,0.646624,0.076094,0.424772,0
0.016429,0.439907,0.812667,0.825778,0.440214,1
0.002985,0.424234,0.648035,0.058157,0.424245,0
0.014656,0.444109,0.834728,0.823719,0.444351,1
0.003033,0.424595,0.659497,0.118079,0.424606,0
0.019528,0.440396,0.8303,0.894057,0.440829,1
0.015516,0.437631,0.814868,0.826403,0.437906,1
0.017979,0.442221,0.836522,0.799663,0.442586,1
0.015329,0.441096,0.822169,0.833207,0.441363,1
0.002746,0.424625,0.636032,0.064907,0.424634,0
0.00319,0.423993,0.639207,0.029749,0.424005,0
0.017054,0.442721,0.826376,0.846319,0.443049,1
0.018706,0.440186,0.830266,0.837004,0.440584,1
0.017571,0.440263,0.845615,0.841587,0.440613,1
0.003266,0.424662,0.651028,0.086578,0.424675,0
0.01764,0.443105,0.860543,0.916031,0.443456,1
0.003074,0.424539,0.64752,0.050861,0.42455,0
0.014993,0.444434,0.846682,0.906551,0.444687,1
0.013227,0.44078,0.851387,0.853514,0.440978,1
0.00293,0.425147,0.643168,0.061247,0.425157,0
0.003477,0.424479,0.644781,0.060874,0.424493,0
0.003647,0.424918,0.636115,0.02442,0.424934,0
0.002755,0.424914,0.658106,0.064517,0.424923,0
0.003895,0.424044,0.63252,0.011028,0.424062,0
0.003184,0.424598,0.640437,0.037112,0.42461,0
0.002291,0.425246,0.639669,0.031071,0.425252,0
0.017687,0.438482,0.842724,0.789887,0.438839,1
0.017407,0.441732,0.823911,0.900945,0.442075,1
0.003099,0.424445,0.639828,0.036452,0.424456,0
0.016002,0.437759,0.870908,0.925029,0.438052,1
0.003237,0.425064,0.644519,0.042373,0.425076,0
0.015722,0.44246,0.871073,0.924724,0.44274,1
0.017467,0.439758,0.845177,0.870059,0.440104,1
0.004084,0.424637,0.651509,0.056274,0.424657,0
0.013858,0.439905,0.796508,0.813304,0.440123,1
0.015576,0.440468,0.858993,0.876906,0.440743,1
0.017219,0.442106,0.852671,0.926039,0.442441,1
0.016016,0.437522,0.859388,0.838685,0.437815,1
0.002752,0.425071,0.653535,0.065291,0.42508,0
0.004137,0.424069,0.64646,0.05161,0.424089,0
0.004118,0.42478,0.64427,0.074176,0.4248,0
0.002704,0.424512,0.662968,0.096662,0.42452,0
0.01663,0.439409,0.814105,0.829421,0.439723,1
0.013886,0.440657,0.884059,0.925154,0.440876,1
0.017803,0.435681,0.844355,0.848957,0.436045,1
0.003293,0.424605,0.643697,0.051427,0.424618,0
0.016216,0.439729,0.842088,0.86476,0.440028,1
0.004234,0.425296,0.662287,0.085303,0.425317,0
0.015641,0.438924,0.873094,0.911612,0.439203,1
0.016579,0.442799,0.856103,0.869642,0.44311,1
0.003382,0.424455,0.642488,0.043812,0.424469,0
0.017631,0.444261,0.848176,0.899304,0.444611,1
0.002989,0.425035,0.650571,0.074112,0.425045,0
0.014011,0.43825,0.851583,0.848198,0.438474,1
0.013163,0.440592,0.841815,0.888708,0.440788,1
0.018645,0.440746,0.822694,0.791198,0.44114,1
0.003763,0.424374,0.646362,0.047685,0.424391,0
0.003639,0.424968,0.660893,0.090562,0.424983,0
0.003097,0.42428,0.648742,0.077896,0.424291,0
0.003199,0.42435,0.642672,0.057515,0.424362,0
0.015367,0.441381,0.842768,0.879872,0.441649,1
0.015907,0.440363,0.839515,0.868115,0.44065,1
0.016502,0.442094,0.873097,0.973081,0.442402,1
0.015704,0.441431,0.82652,0.839296,0.441711,1
0.003722,0.424607,0.645886,0.052483,0.424623,0
0.002911,0.424811,0.631605,0.032354,0.424821,0
0.002849,0.424788,0.641519,0.038904,0.424798,0
0.003078,0.424411,0.667523,0.099146,0.424422,0
0.003744,0.424441,0.650912,0.070935,0.424457,0
0.003349,0.423766,0.643504,0.038202,0.423779,0
0.00379,0.424033,0.660316,0.081003,0.42405,0
0.003873,0.424087,0.639183,0.030067,0.424105,0
0.014816,0.443325,0.839391,0.932184,0.443573,1
0.003726,0.424868,0.64649,0.047769,0.424884,0
0.002206,0.424212,0.641089,0.043159,0.424218,0
0.015511,0.442446,0.868576,0.925404,0.442717,1
0.003283,0.423584,0.643384,0.091559,0.423596,0
0.002808,0.424342,0.655223,0.075804,0.424351,0
0.014959,0.43795,0.811084,0.774161,0.438205,1
0.015617,0.442078,0.840388,0.8433,0.442354,1
0.014366,0.439926,0.838497,0.809529,0.44016,1
0.00372,0.424475,0.660462,0.081512,0.424491,0
0.003239,0.424995,0.668824,0.100519,0.425007,0
0.016146,0.441399,0.842072,0.852773,0.441694,1
0.003354,0.424796,0.649014,0.080972,0.424809,0
0.003099,0.424637,0.650154,0.053505,0.424648,0
0.003621,0.424374,0.644941,0.079557,0.42439,0
0.003303,0.424765,0.660323,0.081403,0.424778,0
0.019469,0.441792,0.805967,0.801212,0.442221,1
0.004298,0.4254,0.653307,0.062451,0.425422,0
0.015241,0.440475,0.825026,0.859283,0.440739,1
0.016324,0.443031,0.836966,0.86456,0.443331,1
0.00324,0.424135,0.644326,0.044852,0.424148,0
0.004705,0.424384,0.657468,0.116913,0.42441,0
0.013661,0.438367,0.8,0.81672,0.43858,1
0.003228,0.424562,0.648021,0.053365,0.424574,0
0.018415,0.440143,0.859012,0.8687,0.440528,1
0.01459,0.439971,0.833282,0.85042,0.440212,1
0.014469,0.444783,0.839801,0.858203,0.445018,1
0.015495,0.439479,0.83572,0.879909,0.439752,1
0.00315,0.424223,0.653981,0.070199,0.424235,0
0.019338,0.436784,0.823127,0.76003,0.437212,1
0.003196,0.424628,0.643434,0.040473,0.42464,0
0.00392,0.424324,0.651742,0.067381,0.424342,0
0.002573,0.424299,0.637893,0.032774,0.424307,0
0.002774,0.42429,0.648402,0.064411,0.424299,0
0.012881,0.441863,0.853582,0.835825,0.44205,1
0.01521,0.441133,0.822334,0.846256,0.441396,1
0.0181,0.445745,0.854215,0.854328,0.446112,1
0.003058,0.424365,0.649537,0.070206,0.424376,0
0.017474,0.439352,0.872668,0.922937,0.439699,1
0.018581,0.444045,0.846356,0.822896,0.444433,1
0.003296,0.42488,0.647254,0.06113,0.424893,0
0.003013,0.424576,0.64392,0.035997,0.424587,0
0.016423,0.441118,0.845376,0.899432,0.441424,1
0.019209,0.440296,0.843648,0.881159,0.440714,1
0.003344,0.424584,0.647221,0.083358,0.424597,0
0.002873,0.42502,0.641497,0.067416,0.42503,0
0.018515,0.443833,0.866488,0.848463,0.444219,1
0.017414,0.443123,0.817193,0.814401,0.443465,1
0.003072,0.424263,0.639415,0.048585,0.424274,0
0.003833,0.425037,0.65057,0.069613,0.425054,0
0.003252,0.4245,0.647355,0.061862,0.424512,0
0.015392,0.440637,0.833056,0.807159,0.440906,1
0.003351,0.424218,0.640511,0.042623,0.424231,0
0.002884,0.424826,0.643059,0.069472,0.424836,0
0.003135,0.42421,0.645837,0.042581,0.424222,0
0.003138,0.42426,0.641768,0.057436,0.424272,0
0.003216,0.424895,0.643108,0.071435,0.424907,0
0.002685,0.424427,0.6403,0.032237,0.424435,0
0.016415,0.442307,0.826853,0.807728,0.442611,1
0.017193,0.443284,0.831334,0.849364,0.443618,1
0.015285,0.442302,0.846943,0.853231,0.442566,1
0.017026,0.444059,0.834161,0.838374,0.444385,1
0.003615,0.424615,0.681495,0.13069,0.424631,0
0.003652,0.424494,0.640049,0.028349,0.42451,0
0.003412,0.424864,0.65416,0.073269,0.424878,0
0.016306,0.437866,0.842089,0.838253,0.438169,1
0.003146,0.424815,0.66225,0.069411,0.424827,0
0.003075,0.425437,0.646073,0.062068,0.425449,0
0.017332,0.44489,0.842068,0.885519,0.445227,1
0.013243,0.439864,0.820688,0.830472,0.440063,1
0.019514,0.440401,0.862208,0.952073,0.440833,1
0.004268,0.425074,0.64536,0.07008,0.425096,0
0.003273,0.424332,0.659799,0.070545,0.424345,0
0.003103,0.42487,0.641302,0.064541,0.424882,0
0.003334,0.423664,0.639387,0.034786,0.423677,0
0.003489,0.424747,0.652748,0.091292,0.424761,0
0.020056,0.442565,0.879775,0.925567,0.443019,1
0.00321,0.425084,0.648713,0.045303,0.425096,0
0.015081,0.440991,0.861963,0.883407,0.441249,1
0.003579,0.424852,0.643728,0.045671,0.424867,0
0.014557,0.441235,0.822883,0.830009,0.441475,1
0.003401,0.425403,0.648289,0.056474,0.425417,0
0.003284,0.424737,0.645597,0.04501,0.424749,0
0.004129,0.424365,0.642982,0.048095,0.424386,0
0.003328,0.424804,0.645145,0.049695,0.424817,0
0.016675,0.444932,0.837301,0.882228,0.445244,1
0.018952,0.44054,0.813298,0.796611,0.440948,1
0.016855,0.439438,0.856171,0.929311,0.439761,1
0.002979,0.425199,0.646822,0.05486,0.42521,0
0.016694,0.441287,0.846973,0.899469,0.441602,1
0.017995,0.437885,0.808153,0.851668,0.438255,1
0.003335,0.425104,0.644858,0.059776,0.425117,0
0.003154,0.424259,0.663488,0.070829,0.424271,0
0.015741,0.442735,0.849571,0.880806,0.443015,1
0.002885,0.424514,0.653128,0.06752,0.424524,0
0.016473,0.442073,0.829522,0.837615,0.44238,1
0.003015,0.424462,0.639663,0.033379,0.424473,0
0.015818,0.441644,0.847935,0.964206,0.441927,1
0.002897,0.424745,0.64324,0.030268,0.424755,0
0.014895,0.442292,0.836264,0.827851,0.442543,1
0.002666,0.424221,0.640128,0.05136,0.42423,0
0.014703,0.44148,0.809145,0.792389,0.441725,1
0.004138,0.424363,0.649082,0.047794,0.424384,0
0.003072,0.424695,0.651578,0.064569,0.424706,0
0.019922,0.443795,0.832522,0.835454,0.444242,1
0.003356,0.424856,0.653583,0.070745,0.424869,0
0.004062,0.424127,0.639588,0.065147,0.424147,0
0.013823,0.440325,0.834593,0.861179,0.440542,1
0.017079,0.438594,0.803867,0.792762,0.438927,1
0.015409,0.437708,0.830799,0.82391,0.437979,1
0.018335,0.441185,0.837434,0.872652,0.441565,1
0.01818,0.440588,0.841156,0.87431,0.440963,1
0.003182,0.424866,0.634474,0.045058,0.424878,0
0.015718,0.443939,0.847286,0.866752,0.444217,1
0.014379,0.442374,0.83447,0.867613,0.442607,1
0.002871,0.425242,0.639538,0.05033,0.425251,0
0.003356,0.424412,0.645672,0.044145,0.424425,0
0.00309,0.424635,0.645773,0.047468,0.424646,0
0.002975,0.424424,0.646962,0.055848,0.424435,0
0.01568,0.443425,0.843132,0.831173,0.443702,1
0.00394,0.424515,0.644608,0.053296,0.424533,0
0.014622,0.442534,0.801483,0.807224,0.442776,1
0.003144,0.424121,0.649518,0.062005,0.424133,0
0.015909,0.438217,0.836232,0.813613,0.438505,1
0.003375,0.424503,0.638891,0.03284,0.424516,0
0.014768,0.438444,0.789349,0.787754,0.438692,1
0.015723,0.440673,0.824768,0.876246,0.440953,1
0.002456,0.424671,0.643336,0.039249,0.424678,0
0.014995,0.444034,0.833651,0.857304,0.444287,1
0.003585,0.42525,0.641198,0.059376,0.425265,0
0.016218,0.438577,0.840825,0.889813,0.438877,1
0.019438,0.439213,0.830947,0.805499,0.439643,1
0.003571,0.424966,0.65015,0.072399,0.424981,0
0.00275,0.423246,0.634242,0.033103,0.423255,0
0.003101,0.424198,0.647047,0.072979,0.42421,0
0.014248,0.441604,0.847334,0.905985,0.441834,1
0.002929,0.424356,0.657423,0.055073,0.424366,0
0.016712,0.442119,0.818115,0.788968,0.442434,1
0.002792,0.424383,0.640789,0.056739,0.424392,0
0.01715,0.442469,0.833201,0.809715,0.442802,1
0.016679,0.440728,0.840264,0.822535,0.441043,1
0.002461,0.424772,0.642492,0.053395,0.424779,0
0.004106,0.424855,0.659422,0.066704,0.424874,0
0.013411,0.443664,0.816359,0.865156,0.443866,1
0.003608,0.425374,0.657391,0.076025,0.425389,0
0.020834,0.438872,0.870704,0.893595,0.439366,1
0.00289,0.424121,0.646246,0.037878,0.424131,0
0.003716,0.424739,0.646561,0.047314,0.424755,0
0.015686,0.442643,0.833255,0.866167,0.442921,1
0.003088,0.424607,0.6705,0.095958,0.424619,0
0.002837,0.424728,0.640195,0.041671,0.424738,0
0.004102,0.424622,0.65336,0.097846,0.424642,0
0.016758,0.438374,0.817084,0.815496,0.438694,1
0.014127,0.439529,0.841973,0.829058,0.439756,1
0.003274,0.423911,0.649115,0.058073,0.423924,0
0.003298,0.424499,0.637132,0.040003,0.424512,0
0.018734,0.441193,0.859116,0.871797,0.441591,1
0.014711,0.442561,0.794392,0.743716,0.442805,1
0.01692,0.437801,0.838449,0.920283,0.438127,1
0.015908,0.440818,0.834944,0.882334,0.441105,1
0.002857,0.425177,0.650879,0.052321,0.425186,0
0.01536,0.439845,0.855095,0.891323,0.440113,1
0.015758,0.441083,0.848357,0.977387,0.441364,1
0.015409,0.436646,0.832434,0.876899,0.436918,1
0.017831,0.442394,0.855024,0.850695,0.442754,1
0.018016,0.437966,0.825383,0.824686,0.438336,1
0.018928,0.440933,0.819103,0.747914,0.441339,1
0.013783,0.438722,0.802643,0.75163,0.438939,1
0.003373,0.424938,0.651421,0.059358,0.424951,0
0.017034,0.44344,0.84442,0.878077,0.443767,1
0.017986,0.44329,0.837079,0.879234,0.443655,1
0.003642,0.424311,0.64637,0.072245,0.424327,0
0.002915,0.424506,0.646905,0.053804,0.424516,0
0.021436,0.442682,0.836888,0.87823,0.443201,1
0.002245,0.424664,0.648596,0.063251,0.42467,0
0.018118,0.439587,0.86141,0.949991,0.43996,1
0.019024,0.441823,0.840898,0.882292,0.442232,1
0.003423,0.42523,0.640027,0.060124,0.425244,0
0.01865,0.440804,0.8206,0.799144,0.441198,1
0.00381,0.42446,0.641465,0.044146,0.424478,0
0.003371,0.423851,0.632212,0.054939,0.423865,0
0.003163,0.424795,0.638606,0.026411,0.424807,0
0.017186,0.442631,0.829921,0.851213,0.442965,1
0.003668,0.424744,0.657549,0.066012,0.42476,0
0.003528,0.424203,0.641336,0.056595,0.424217,0
0.002944,0.424035,0.656069,0.073477,0.424046,0
0.016533,0.44079,0.832625,0.879526,0.4411,1
0.002989,0.424304,0.659475,0.080221,0.424315,0
0.016518,0.439316,0.797251,0.796435,0.439626,1
0.00339,0.424739,0.645231,0.073308,0.424752,0
0.019161,0.439276,0.848157,0.870855,0.439693,1
0.013891,0.444737,0.842609,0.829115,0.444954,1
0.017003,0.438362,0.801896,0.799792,0.438691,1
0.019178,0.44017,0.81927,0.840393,0.440588,1
0.015246,0.441463,0.834908,0.847875,0.441727,1
0.014572,0.441096,0.823664,0.865435,0.441337,1
0.003375,0.424807,0.650105,0.080076,0.424821,0
0.002464,0.423904,0.642217,0.029838,0.423911,0
0.016978,0.444308,0.841975,0.903461,0.444632,1
0.017643,0.438973,0.826552,0.865561,0.439328,1
0.018015,0.440416,0.831426,0.836576,0.440784,1
0.013943,0.441535,0.821041,0.82802,0.441755,1
0.017215,0.443235,0.837505,0.88049,0.443569,1
0.015742,0.441075,0.844093,0.778686,0.441356,1
0.0152,0.441544,0.841398,0.899417,0.441805,1
0.019759,0.439722,0.818711,0.882415,0.440165,1
0.003484,0.424554,0.655959,0.079577,0.424568,0
0.003762,0.424494,0.644325,0.045507,0.424511,0
0.013498,0.443224,0.835243,0.887862,0.44343,1
0.017025,0.44246,0.830377,0.831876,0.442788,1
0.002885,0.425346,0.645807,0.055678,0.425356,0
0.003851,0.424707,0.667996,0.099985,0.424725,0
0.002284,0.424701,0.647978,0.072969,0.424707,0
0.013943,0.441416,0.827286,0.89614,0.441636,1
0.016818,0.439845,0.853308,0.861925,0.440166,1
0.014124,0.439979,0.85079,0.900117,0.440206,1
0.016905,0.438735,0.843559,0.864845,0.439061,1
0.00336,0.423508,0.649906,0.065391,0.423521,0
0.004104,0.424927,0.648475,0.080385,0.424947,0
0.013591,0.444666,0.815778,0.828697,0.444874,1
0.016543,0.440037,0.814562,0.847775,0.440348,1
0.003585,0.424868,0.6493,0.047539,0.424883,0
0.017252,0.442062,0.848631,0.87225,0.442399,1
0.003246,0.424362,0.647736,0.061432,0.424374,0
0.013081,0.438478,0.86171,0.906553,0.438673,1
0.004054,0.424384,0.649449,0.073414,0.424404,0
0.003183,0.423945,0.636663,0.037734,0.423957,0
0.01789,0.442343,0.826431,0.825882,0.442704,1
0.018214,0.440381,0.824025,0.83384,0.440757,1
0.015817,0.441916,0.851952,0.878401,0.442199,1
0.015111,0.435364,0.824741,0.847667,0.435626,1
0.003665,0.424705,0.642837,0.040829,0.424721,0
0.00319,0.424577,0.644997,0.062796,0.424589,0
0.003965,0.425381,0.651506,0.049828,0.4254,0
0.018777,0.442587,0.835313,0.832677,0.442985,1
0.015707,0.440782,0.826332,0.803306,0.441061,1
0.003747,0.425319,0.652212,0.077896,0.425336,0
0.003353,0.425115,0.647622,0.047826,0.425128,0
0.017066,0.439306,0.834527,0.84569,0.439637,1
0.002835,0.424349,0.654134,0.053071,0.424359,0
0.019772,0.439973,0.834379,0.879484,0.440417,1
0.003988,0.424166,0.653946,0.07055,0.424185,0
0.002692,0.424645,0.640956,0.054494,0.424654,0
0.003213,0.423939,0.638229,0.037077,0.423951,0
0.012303,0.443298,0.838978,0.862971,0.443468,1
0.003708,0.424893,0.653242,0.06746,0.42491,0
0.003433,0.423571,0.649689,0.053454,0.423585,0
0.002863,0.424394,0.641283,0.0588,0.424404,0
0.016125,0.441412,0.876128,0.904962,0.441707,1
0.015513,0.44269,0.858168,0.883624,0.442962,1
0.003654,0.424826,0.642201,0.053449,0.424842,0
0.015272,0.439709,0.80944,0.78399,0.439975,1
0.002961,0.424293,0.647013,0.069156,0.424303,0
0.013447,0.442,0.845125,0.929986,0.442204,1
0.003456,0.424948,0.667988,0.084851,0.424962,0
0.01708,0.441811,0.806935,0.795009,0.442141,1
0.003463,0.423872,0.653558,0.0551,0.423886,0
0.003667,0.424248,0.647777,0.068323,0.424264,0
0.015403,0.440652,0.82153,0.843195,0.440921,1
0.013919,0.441406,0.828434,0.855517,0.441625,1
0.014447,0.440584,0.83454,0.838801,0.44082,1
0.003095,0.424491,0.662817,0.082866,0.424502,0
0.003257,0.424985,0.649972,0.064947,0.424997,0
0.00281,0.424457,0.660024,0.07141,0.424466,0
0.003211,0.424308,0.635649,0.037364,0.42432,0
0.018006,0.438963,0.805997,0.785978,0.439332,1
0.014306,0.440949,0.839746,0.843855,0.441181,1
0.003917,0.424699,0.650961,0.097375,0.424717,0
0.004041,0.425355,0.651352,0.057732,0.425374,0
0.003514,0.424793,0.64772,0.050809,0.424808,0
0.013077,0.443157,0.857603,0.924573,0.44335,1
0.013546,0.441376,0.820585,0.83559,0.441584,1
0.018824,0.444383,0.83861,0.844938,0.444781,1
0.004256,0.424041,0.650577,0.052156,0.424062,0
0.014617,0.442679,0.846608,0.871943,0.44292,1
0.013268,0.440685,0.831411,0.828944,0.440884,1
0.016333,0.440909,0.856163,0.880692,0.441211,1
0.003304,0.424678,0.647863,0.046333,0.424691,0
0.017524,0.442997,0.840388,0.890127,0.443343,1
0.003553,0.425477,0.642751,0.056133,0.425491,0
0.016546,0.441119,0.843795,0.912,0.441429,1
0.003753,0.424245,0.654398,0.061024,0.424262,0
0.003699,0.424179,0.648662,0.047043,0.424195,0
0.002954,0.424241,0.639981,0.087234,0.424251,0
0.016834,0.438875,0.859652,0.871614,0.439197,1
0.014916,0.441058,0.823988,0.843364,0.44131,1
0.002962,0.423594,0.653476,0.064853,0.423605,0
0.012124,0.440923,0.855146,0.85565,0.44109,1
0.01463,0.43861,0.827123,0.844328,0.438854,1
0.012443,0.442068,0.847222,0.909297,0.442243,1
0.01922,0.440151,0.86089,0.854688,0.440571,1
0.004149,0.425753,0.659342,0.083309,0.425773,0
0.01525,0.440596,0.855951,0.91254,0.44086,1
0.002435,0.424656,0.654309,0.061156,0.424662,0
0.015458,0.438891,0.847841,0.895413,0.439164,1
0.002706,0.424599,0.650014,0.076737,0.424608,0
0.019246,0.442355,0.825149,0.852912,0.442773,1
0.003692,0.424568,0.651801,0.069633,0.424584,0
0.015901,0.44034,0.846011,0.879785,0.440627,1
0.00355,0.425254,0.648657,0.053489,0.425269,0
0.003719,0.424763,0.640572,0.060841,0.424779,0
0.002942,0.424303,0.646045,0.049348,0.424313,0
0.015246,0.43854,0.81307,0.805827,0.438805,1
0.014713,0.440988,0.825062,0.809954,0.441233,1
0.004015,0.425143,0.642495,0.059665,0.425162,0
0.017032,0.440297,0.840432,0.849172,0.440626,1
0.002775,0.425053,0.64326,0.046402,0.425062,0
0.003674,0.424684,0.650885,0.065567,0.4247,0
0.015061,0.441663,0.866885,0.88654,0.44192,1
0.015142,0.443967,0.874808,0.934767,0.444225,1
0.003483,0.425527,0.648056,0.11011,0.425542,0
0.003354,0.424675,0.644232,0.071936,0.424688,0
0.003318,0.424742,0.636387,0.028145,0.424755,0
0.003003,0.4247,0.645406,0.049237,0.424711,0
0.014408,0.442179,0.838871,0.795333,0.442414,1
0.002184,0.42433,0.637026,0.040183,0.424335,0
0.00319,0.424169,0.6432,0.065587,0.424181,0
0.003109,0.424077,0.638534,0.037203,0.424088,0
0.002093,0.425252,0.640523,0.055708,0.425257,0
0.003415,0.423812,0.63904,0.037361,0.423826,0
0.00355,0.424413,0.652972,0.080755,0.424428,0
0.013468,0.439375,0.85295,0.923283,0.439581,1
0.003648,0.424216,0.649606,0.058115,0.424232,0
0.019508,0.440211,0.83506,0.844869,0.440643,1
0.010869,0.439977,0.826869,0.843887,0.440111,1
0.015359,0.439301,0.836039,0.855986,0.43957,1
0.016328,0.442101,0.826765,0.896041,0.442402,1
0.00344,0.424421,0.651074,0.093106,0.424435,0
0.016551,0.43934,0.825753,0.841992,0.439652,1
0.016731,0.440812,0.861183,0.894682,0.441129,1
0.014746,0.443903,0.829689,0.783031,0.444148,1
0.003372,0.424216,0.633723,0.029392,0.42423,0
0.017847,0.44382,0.839823,0.913839,0.444179,1
0.003483,0.424233,0.640961,0.059766,0.424247,0
0.016044,0.441919,0.850616,0.859604,0.44221,1
0.013344,0.44311,0.855821,0.907767,0.44331,1
0.016355,0.443712,0.842984,0.83715,0.444013,1
0.002924,0.4251,0.650305,0.072648,0.42511,0
0.017003,0.4463,0.846042,0.893093,0.446624,1
0.003345,0.42497,0.650195,0.05403,0.424983,0
0.003296,0.424364,0.653259,0.06056,0.424377,0
0.01773,0.442495,0.842451,0.842111,0.44285,1
0.020746,0.43875,0.845474,0.815009,0.43924,1
0.003364,0.424614,0.641867,0.031234,0.424627,0
0.003341,0.424844,0.64658,0.072258,0.424857,0
0.003456,0.423894,0.649763,0.078202,0.423908,0
0.003301,0.424695,0.641398,0.07968,0.424708,0
0.015725,0.438636,0.835366,0.903275,0.438918,1
0.002655,0.424932,0.652464,0.051793,0.424941,0
0.003952,0.424116,0.652984,0.068778,0.424134,0
0.003502,0.424185,0.641873,0.042302,0.424199,0
0.017031,0.441052,0.841206,0.914838,0.441381,1
0.012528,0.440669,0.82144,0.799161,0.440847,1
0.002436,0.424411,0.665641,0.08345,0.424418,0
0.016856,0.43977,0.787619,0.757858,0.440093,1
0.0139,0.439961,0.823417,0.876511,0.44018,1
0.003009,0.424543,0.655375,0.07789,0.424554,0
0.015269,0.4409,0.835592,0.831456,0.441165,1
0.003743,0.425221,0.640848,0.063289,0.425237,0
0.016682,0.439784,0.837574,0.857716,0.4401,1
0.020738,0.442684,0.833541,0.866118,0.44317,1
0.015187,0.441446,0.821195,0.848415,0.441707,1
0.017753,0.443788,0.841574,0.868036,0.444143,1
0.015942,0.441627,0.862763,0.877601,0.441915,1
0.002795,0.423945,0.652195,0.089379,0.423955,0
0.003431,0.424762,0.646593,0.051333,0.424776,0
0.003471,0.424767,0.644473,0.069588,0.424781,0
0.003501,0.42456,0.657909,0.06308,0.424574,0
0.003086,0.424448,0.654766,0.060841,0.424459,0
0.014937,0.440067,0.823007,0.805157,0.440321,1
0.002923,0.424909,0.651181,0.062839,0.424919,0
0.016306,0.438425,0.839861,0.789022,0.438728,1
0.016263,0.441818,0.84408,0.844797,0.442117,1
0.002991,0.423985,0.640009,0.045868,0.423996,0
0.014575,0.442694,0.854001,0.798808,0.442934,1
